Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
11,What is the role of the NMC?,To represent or campaign on behalf of nurses and midwifes,To regulate hospital or other healthcare settings in the UK,To regulate health care assistance,To regulate nurses and midwives in the UK to protect thepublic,d,The Nursing and Midwifery Council (NMC) is the independent regulator for nurses and midwives in the UK. Its primary role is to protect the public.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
12,What is the purpose of The NMC Code?,It outlines specific tasks or clinical procedures,It ascertains in detail a nurse's or midwife's clinical expertise,It is a tool for educating prospective nurses and midwives,"It contains the professional standards that registered nurses, midwives and nursing associates must uphold.",d,"The NMC Code presents the professional standards that all registered nurses, midwives, and nursing associates must uphold, built around four key themes.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
13,All are purposes of NMC except:,"NMC's role is to regulate nurses and midwives in England, Wales, Scotland and Northern Ireland.","It sets standards of education, training, conduct and performance...",It makes sure that nurses and midwives keep their skills and knowledge up to date...,It is responsible for regulating hospitals or other healthcare settings.,d,"The NMC regulates professionals, not healthcare settings. In England, the Care Quality Commission (CQC) regulates healthcare settings.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
14,The UK regulator for nursing & midwifery professions...,GMC,NMC,BMC,WHC,b,The Nursing and Midwifery Council (NMC) is the specific regulator for the nursing and midwifery professions in the United Kingdom.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
15,"Which...agency set the standards of education, training and conduct...",NMC,DH,CQC,RCN,a,"The NMC is the statutory body responsible for setting and monitoring the standards for education, training, conduct, and performance.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
16,What do you mean by code of ethics?,Legal activities of a registered nurse,A set of moral principles that govern a person's behavior...,A document that outlines the rules of an organization,A guide for personal relationships,b,"A code of ethics provides a framework of moral principles to guide professional practice, ensuring practitioners act with integrity.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
17,When can a nurse delegate tasks to other people?,When the nurse is too busy...,When the other person is a student nurse,When the nurse is confident that the other person has the necessary skills and knowledge,"Never, a nurse must complete all tasks themselves",c,Nurses can delegate tasks but must be satisfied that the person has the competence to perform it safely. The nurse remains accountable.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
18,What is the main purpose of revalidation?,To test a nurse's clinical skills,To provide a way for nurses and midwives to demonstrate their continued fitness to practise,To check if a nurse has completed enough training courses,To get a promotion,b,"Revalidation is the process for nurses and midwives to demonstrate they practice safely and effectively, maintaining their NMC registration.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
19,Which...is NOT one of the four themes of the NMC Code?,Prioritise people,Practise effectively,Preserve safety,Promote leadership,d,"The four themes are: Prioritise people, Practise effectively, Preserve safety, and Promote professionalism and trust.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
20,What should a nurse do if they have a conscientious objection...,Refuse to care for the patient,Inform their employer and colleagues and ensure that patient care is not compromised,Perform the procedure anyway,Ask the patient to request another nurse,b,"Nurses must put patient care first, informing employers and ensuring care is not disrupted if they have a conscientious objection.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
21,What are the 6 C's of nursing?,"Care, Compassion, Competence, Communication, Courage, Commitment","Caring, Comfort, Competence, Communication, Courage, Commitment","Care, Compassion, Competence, Communication, Courage, Confidentiality","Care, Compassion, Competence, Communication, Courage, Co-operation",a,"The 6Cs were introduced to integrate core values into patient care in the NHS. They stand for Care, Compassion, Competence, Communication, Courage, and Commitment.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
22,A newly registered nurse is assigned to a busy ward. She is feeling overwhelmed. Which 'C' should she focus on to manage her feelings and responsibilities?,Compassion,Courage,Commitment,Competence,b,"Courage enables a nurse to do the right thing for people they care for, to speak up when they have concerns, and to innovate in the face of adversity.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
23,Which of the following is NOT a part of the NMC's Code of Conduct?,Prioritise People,Practise Effectively,Promote Professionalism and Trust,Provide Palliative Care,d,"""Provide Palliative Care"" is a specific nursing skill, not one of the four main themes of the NMC Code of Conduct.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
24,A nurse witnesses a colleague acting unprofessionally. What should be the nurse's first action?,Ignore the situation,Report the colleague to the NMC immediately,Speak to the colleague privately,Discuss it with other colleagues,c,"The principle of 'Preserve Safety' encourages addressing issues directly and promptly. Speaking to the colleague first may resolve the issue, but it must be escalated if patient safety is at risk.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
25,What is the legal requirement for obtaining consent from a patient before a procedure?,The patient must be over 18,The patient must be conscious,The patient must have the capacity to make the decision,The patient's family must agree,c,"For consent to be valid, the person must be able to make the decision (have capacity), be given all the relevant information, and give consent voluntarily.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
26,A patient who does not speak English requires an explanation of a procedure. What is the best course of action?,Use a family member to translate,Use a professional interpreter service,Use hand gestures and diagrams,Wait until a doctor is available,b,"Using a professional, impartial interpreter is essential to ensure the patient fully understands the information and can provide informed consent. Family members may not be impartial or have sufficient medical terminology knowledge.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
27,What is the primary purpose of the Data Protection Act 2018 in a healthcare setting?,To prevent patients from accessing their health records,To protect personal and sensitive information,To allow free sharing of patient data between organizations,To ensure all health records are digital,b,"The Data Protection Act 2018 (which incorporates the GDPR) governs how personal information is used and protected. In healthcare, this is crucial for maintaining patient confidentiality.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
28,Under what circumstances can a nurse break confidentiality?,When a patient's family asks for information,When a serious crime may be prevented,When a colleague asks for information for their own interest,"Never, confidentiality is absolute",b,"Confidentiality can be breached without a patient's consent if it is in the public interest, such as to prevent a serious crime or if there is a risk of serious harm to the patient or others.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
29,What is the main aim of the Mental Capacity Act 2005?,To allow doctors to make all decisions for patients with mental health issues,To protect and empower people who may lack the mental capacity to make their own decisions,To make it easier to detain people under the Mental Health Act,To give family members the right to make decisions for their relatives,b,"The MCA is designed to protect and empower individuals who may lack capacity. It starts with the assumption that everyone has capacity, and any act done for someone who lacks capacity must be in their best interests.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
30,A patient with dementia repeatedly tries to leave the ward. What is the most appropriate initial action?,Restrain the patient in their bed,Administer a sedative,Try to understand the reason for their behavior and use distraction techniques,Lock the ward doors,c,The least restrictive principle should always be applied. Understanding the cause of the behavior and using communication and distraction techniques is the first and most appropriate response.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
31,What does the term 'safeguarding' refer to in a healthcare context?,Protecting staff from aggressive patients,"Protecting people's health, wellbeing and human rights, and enabling them to live free from harm, abuse and neglect",Keeping medical records secure,Ensuring the hospital is clean,b,"Safeguarding means protecting vulnerable adults or children from harm, abuse, and neglect. It is a key professional responsibility for all healthcare staff.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
32,Which of the following is a key principle of safe medication administration?,"The 5 Rights (Right Patient, Right Drug, Right Dose, Right Route, Right Time)",Administering medication as quickly as possible,Allowing patients to administer their own medication,Only administering medication prescribed by a senior doctor,a,The '5 Rights' (often expanded to more) are a fundamental safety check to reduce medication errors.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
33,A nurse makes a medication error. What is their professional duty?,"To report the error immediately to the person in charge and the doctor, and to document it",To correct the error on the next dose,To wait and see if the patient has any adverse effects,To ask a colleague not to say anything,a,The professional duty of candour requires healthcare professionals to be open and honest when something goes wrong. This includes reporting errors promptly and documenting them.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
34,What is the purpose of clinical governance?,To ensure the hospital is financially stable,A framework through which NHS organisations are accountable for continuously improving the quality of their services,To manage staff holidays and rota,To promote the hospital's reputation,b,Clinical governance is a systematic approach to maintaining and improving the quality of patient care within a health system.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
35,Which of these is a key component of effective hand hygiene?,Washing hands with water only,Using alcohol gel on visibly soiled hands,Washing hands for at least 20 seconds,Wearing gloves instead of washing hands,c,"Effective handwashing technique, including washing with soap and water for at least 20 seconds, is crucial for infection prevention and control.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
36,"What is the correct procedure for disposing of sharps (needles, etc.)?",In a standard clinical waste bag,"In a designated, puncture-proof sharps container",By recapping the needle and placing it in a general waste bin,In a yellow clinical waste bag,b,Sharps must be disposed of immediately at the point of use in a designated sharps container to prevent needlestick injuries.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
37,A patient has a 'Do Not Attempt Cardiopulmonary Resuscitation' (DNACPR) order in place. What does this mean?,The patient should not receive any medical treatment,The patient will not be resuscitated in the event of cardiac or respiratory arrest,The patient is expected to die within 24 hours,The patient's family can override the decision,b,A DNACPR is a medical decision that CPR will not be attempted. It does not affect any other aspect of the patient's care or treatment.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
38,What is the role of a 'next of kin' in medical decision-making in the UK?,They have the legal right to make decisions for the patient,"They are consulted for their opinion, but have no legal decision-making power unless they have Lasting Power of Attorney",They must consent to all treatments,They can override a patient's competent refusal of treatment,b,"Unless the 'next of kin' holds a Lasting Power of Attorney for health and welfare, their role is to advise and be consulted. They cannot make decisions on behalf of a competent adult.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
39,"A patient is refusing a blood transfusion for religious reasons, but it is life-saving. What is the correct action?",Give the transfusion anyway,Ask the hospital chaplain to convince them,"Respect their autonomous decision, if they have capacity",Seek a court order to override their decision,c,"A competent adult has the right to refuse treatment, even if that decision results in their death. This is a fundamental principle of patient autonomy.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
40,What is the primary purpose of a risk assessment in a clinical setting?,To blame staff when things go wrong,"To identify, analyse and evaluate potential hazards to patients and staff",To complete paperwork for auditing purposes,To restrict patient activities unnecessarily,b,Risk assessments are a proactive process to identify potential harm and implement measures to reduce the risk.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
41,Which of the following is a common symptom of sepsis?,Low blood pressure,High temperature,Confusion,All of the above,d,"Sepsis can present with a variety of symptoms, including fever or low temperature, confusion, low blood pressure, and a high heart rate. It is a life-threatening condition.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
42,What is the 'SBAR' tool used for?,Patient assessment,Structuring communication between healthcare professionals,Documenting care plans,Escalating concerns about staffing levels,b,"SBAR (Situation, Background, Assessment, Recommendation) is a communication tool used to provide clear, concise information, especially in critical situations.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
43,A nurse is concerned about a patient's deteriorating condition. The doctor on call does not seem to be taking the concerns seriously. What should the nurse do?,Document the concerns and wait,Follow the formal chain of command for escalation,Ask the patient's family to complain,Do nothing further,b,"Patient safety is paramount. If a nurse's concerns are not being addressed, they have a professional duty to escalate them through the established channels (e.g., to a more senior nurse or doctor).",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
44,What is the purpose of reflective practice in nursing?,To complain about difficult shifts,To learn from experiences and improve future practice,To complete a mandatory yearly essay,To share patient stories with colleagues,b,"Reflective practice is a key part of professional development. It involves thinking about experiences to understand them and learn from them, which leads to improvements in care.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
45,Which of the following is a protected characteristic under the Equality Act 2010?,Socio-economic status,Age,Appearance,Place of residence,b,"The Equality Act 2010 lists nine protected characteristics, which include age, disability, gender reassignment, marriage and civil partnership, pregnancy and maternity, race, religion or belief, sex, and sexual orientation.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
46,A patient complains of being in pain. What is the most reliable indicator of their pain?,Their vital signs,The nurse's own judgement,The patient's self-report,The opinion of the patient's family,c,Pain is a subjective experience. The patient's self-report is the most reliable indicator of their pain level and should be the primary guide for assessment and management.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
47,What is the NICE (National Institute for Health and Care Excellence)?,A professional union for nurses,An organisation that provides national guidance and advice to improve health and social care,A charity that funds medical research,The regulator for doctors in the UK,b,"NICE produces evidence-based guidance and advice for health, public health, and social care practitioners.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
48,A patient is at high risk of developing pressure sores. Which of the following is a key preventative measure?,Keeping the patient in one position to avoid friction,Regular repositioning,Massaging the bony areas,Using a donut cushion,b,Regular repositioning of the patient is a crucial intervention to relieve pressure on bony prominences and prevent the development of pressure sores.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
49,What is the Glasgow Coma Scale (GCS) used to assess?,Level of consciousness,Pain level,Risk of falls,Blood sugar level,a,"The GCS is a neurological scale used to reliably assess a person's level of consciousness after a brain injury. It assesses eye, verbal, and motor responses.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
50,A nurse is documenting care in a patient's notes. What is a key principle of good record-keeping?,"Records should be clear, accurate, and contemporaneous",Use abbreviations as much as possible to save time,Document at the end of the shift,Leave blank spaces for others to add notes later,a,"Good record-keeping is essential for patient safety and continuity of care. Records must be clear, accurate, and made at the time of the event or as soon as possible afterwards.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
51,What is the difference between an 'advocate' and a 'chaperone'?,They are the same thing,"An advocate speaks for the patient, while a chaperone is present for examinations to protect both patient and professional","An advocate is a legal role, while a chaperone is informal","An advocate is for children, a chaperone is for adults",b,"An advocate helps a patient express their views and wishes, while a chaperone is a neutral third party present during an intimate examination.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
52,What is the main purpose of the NHS Constitution?,To set out the pay scales for NHS staff,"To describe the purpose, principles, and values of the NHS in England",To list all the treatments available on the NHS,To outline the structure of the Department of Health,b,"The NHS Constitution for England establishes the principles and values of the NHS. It sets out rights to which patients, public and staff are entitled, and pledges which the NHS is committed to achieve.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
53,A patient has a known allergy to penicillin. The doctor prescribes a drug from the penicillin family by mistake. The nurse notices this. What is the correct action?,Administer the drug as prescribed,Ask the patient if they feel lucky,Withhold the drug and question the prescription with the doctor,Give half the dose to see what happens,c,The nurse has a professional duty to act as a safety net. They must not administer a medication they believe to be unsafe and must question the prescriber.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
54,What does 'holistic care' mean?,Focusing only on the patient's physical symptoms,"Treating the whole person, including their physical, emotional, social, and spiritual needs",Providing care only in a hospital setting,Following a strict care plan without deviation,b,Holistic care is a comprehensive approach to patient care that considers all aspects of a person's life and wellbeing.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
55,What is the leading cause of preventable death in hospitalised patients?,Falls,Medication errors,Hospital-acquired infections,Venous thromboembolism (VTE),d,Venous thromboembolism (blood clots) is a significant and largely preventable cause of death in hospitalised patients. Risk assessment and prophylaxis are key.,Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
56,A patient is being discharged. What is a key nursing responsibility in this process?,Ensuring the patient has transport home,"Providing clear information about their medication, follow-up appointments, and who to contact if they have problems",Making sure the patient's bed is immediately available for the next person,Giving the patient a satisfaction survey,b,A safe discharge requires providing the patient and their family with all the necessary information to manage their care at home and to know what to do if they have any concerns.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
57,What is 'person-centred care'?,Letting the patient decide everything about their care,"A way of thinking and doing things that sees the people using health and social services as equal partners in planning, developing and monitoring care",A care model that is focused on efficiency and cost-saving,Providing the same care to every patient with the same condition,b,Person-centred care involves putting patients and their families at the heart of all decisions. It is a partnership approach to healthcare.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
58,"What is the purpose of an incident form (e.g., Datix/IR1)?",To discipline the staff involved,To learn from incidents and near misses to improve safety,To protect the hospital from legal action,To provide data for media reports,b,"Incident reporting systems are not for blaming individuals but for identifying patterns and system failures, allowing the organisation to learn and improve patient safety.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
59,A nurse is asked to perform a task they have not been trained for. What should they do?,Attempt the task and hope for the best,Ask another nurse to supervise them,Decline to perform the task and explain they are not competent to do so,Read the procedure manual and then proceed,c,"Nurses must practice within the limits of their competence. It is essential to recognise this and decline tasks for which they are not trained, to ensure patient safety.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
60,What is the significance of the Francis Inquiry?,It led to the introduction of nurse revalidation,It highlighted major failings in care at Mid Staffordshire NHS Foundation Trust and made recommendations on patient safety and quality of care,It reformed the structure of the NHS,It changed the way doctors are regulated,b,"The Francis Inquiry was a major public inquiry that exposed serious failings in care and led to significant changes in the NHS, with a renewed focus on compassion, patient safety, and transparency.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Not specified
61,What is atrial fibrillation?,"A slow, regular heart rhythm","A fast, chaotic heart rhythm originating in the atria",A type of heart block,A normal heart rhythm,b,Atrial fibrillation (AF) is a heart condition that causes an irregular and often abnormally fast heart rate. The upper chambers of the heart (atria) are quivering chaotically.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
62,A patient is having an asthma attack. What is the priority nursing intervention?,"Administer a bronchodilator (e.g., salbutamol)",Encourage the patient to lie down,Give the patient a paper bag to breathe into,Administer oxygen without a doctor's order,a,The priority is to relieve the bronchospasm. Administering a prescribed short-acting beta-agonist (SABA) like salbutamol via an inhaler or nebuliser is the first-line treatment.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
63,What is a key nursing consideration when caring for a patient with a urinary catheter?,Emptying the bag only when it is full,Keeping the drainage bag higher than the bladder,Regularly cleaning the catheter insertion site and maintaining a closed drainage system,Changing the catheter every 24 hours,c,"To prevent catheter-associated urinary tract infections (CAUTIs), it's crucial to perform regular meatal care and ensure the closed drainage system is not broken. The bag must be kept below the bladder level.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
64,What is MRSA (Methicillin-Resistant Staphylococcus Aureus)?,A virus that causes skin infections,A type of bacteria that is resistant to many standard antibiotics,A fungus found in hospitals,A common skin bacterium that is harmless,b,"MRSA is a strain of Staphylococcus aureus bacteria that has developed resistance to several antibiotics, including methicillin, making infections harder to treat.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
65,Which of the following is a classic sign of a wound infection?,The wound is healing slowly,The wound bed is pink and granular,"Increased pain, redness, swelling, and purulent discharge",The patient feels tired,c,"The classic signs of a localised wound infection include redness (erythema), swelling (oedema), increased pain, warmth around the wound, and the presence of purulent (pus-like) exudate.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
66,What is the definition of sepsis?,A severe bacterial infection,A life-threatening organ dysfunction caused by a dysregulated host response to infection,A mild allergic reaction,High blood pressure due to infection,b,"Sepsis is a medical emergency. It's the body's extreme response to an infection, which triggers widespread inflammation and can lead to tissue damage, organ failure, and death.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
67,What is a key nursing consideration for a patient receiving oxygen therapy?,Ensure the patient does not smoke or use open flames nearby,Keep the oxygen flow rate as high as possible,Only use oxygen during the day,Remove the oxygen when the patient is eating,a,"Oxygen is highly combustible. The most critical safety precaution is to eliminate all sources of ignition, including smoking, candles, and sparks from electrical equipment, in the vicinity of oxygen use.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
68,What is an electrocardiogram (ECG) used for?,To measure brain activity,To measure the electrical activity of the heart,To measure lung capacity,To measure blood oxygen levels,b,An ECG records the electrical signals of the heart. It is a common and painless test used to quickly detect heart problems and monitor the heart's health.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
69,What is a primary nursing goal in caring for a patient with a stoma?,To ensure the stoma is always covered,To change the appliance daily,"To maintain the health of the stoma and surrounding skin, and promote patient self-care",To limit the patient's fluid intake,c,"Key goals include maintaining peristomal skin integrity, ensuring the appliance is secure, controlling odour, and empowering the patient through education to manage their stoma independently.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
70,What is the main difference between Type 1 and Type 2 diabetes?,"Type 1 is caused by diet, Type 2 is genetic",Type 1 is an autoimmune condition where the body doesn't produce insulin; Type 2 is where the body doesn't use insulin effectively,"Type 1 affects children, Type 2 affects adults","Type 1 is treated with tablets, Type 2 with insulin",b,"In Type 1 diabetes, the body's immune system attacks and destroys the insulin-producing cells. In Type 2 diabetes, the body either doesn't produce enough insulin or the body's cells don't react to insulin properly (insulin resistance).",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
71,What is cellulitis?,A skin infection that affects the deeper layers of the skin and underlying tissue,A type of skin cancer,A viral rash,An allergic reaction,a,"Cellulitis is a common, and sometimes serious, bacterial skin infection. The affected skin appears swollen and red and is typically painful and warm to the touch.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
72,A patient has a Braden Scale score of 12. What does this indicate?,Low risk of pressure ulcers,Moderate risk of pressure ulcers,High risk of pressure ulcers,Very high risk of pressure ulcers,c,"The Braden Scale assesses a patient's risk for developing a pressure sore. A score of 12 or less indicates a high-risk patient, and preventative measures should be implemented immediately.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
73,"What are the ""Five Moments for Hand Hygiene"" as defined by the WHO?","Before patient contact, before a clean/aseptic procedure, after body fluid exposure risk, after patient contact, after contact with patient surroundings","When hands are visibly dirty, before eating, after using the toilet, after coughing, before starting work","At the start of a shift, at the end of a shift, before breaks, after breaks, before going home",Once an hour during a shift,a,The '5 Moments' define the key times during patient care when hand hygiene is required to prevent the transmission of microorganisms.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
74,What is the purpose of the surgical safety checklist?,To ensure the surgeon has the correct instruments,To confirm the patient's identity and the procedure being performed,To improve communication and teamwork to reduce errors and harm to the patient,To document the timing of the surgery,c,"The WHO Surgical Safety Checklist is a tool designed to improve the safety of surgical procedures by promoting effective communication and teamwork, and ensuring key safety checks are performed at critical stages.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
75,"A patient with a known fractured hip complains of severe pain, swelling, and tightness in their thigh. The nurse notes the leg is tense and pale. What serious complication might this indicate?",A new fracture,Deep vein thrombosis (DVT),Compartment syndrome,A skin infection,c,"Compartment syndrome is a surgical emergency caused by swelling and bleeding in a confined space (a muscle compartment). It increases pressure and disrupts blood flow, potentially leading to muscle and nerve damage.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
76,Which of these is a key principle of wound debridement?,To remove non-viable tissue from the wound bed to promote healing,To apply a dry dressing to the wound,To clean the wound with soap and water,To close the wound with sutures,a,"Debridement is the medical removal of dead, damaged, or infected tissue to improve the healing potential of the remaining healthy tissue.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
77,What is the role of an advocate in healthcare?,To make decisions for the patient,"To help a patient express their views and wishes, and ensure their voice is heard",To provide clinical care,To act as a chaperone,b,"An advocate supports a person to understand information, make their own decisions, and express their views. They do not speak for the person, but empower the person to speak for themselves.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
